;Data/Hora;Descrição das Movimentações;Valor;Saldo;Saldo Sacável
0;27/02/2024;;;;
1;;Rendimento de saldo de carteira - Renda Fixa;R$ 2,03;R$ 11.885,82;R$ 11.885,82
2;11:21:59;;;;
3;26/02/2024;;;;
4;;Rendimento de saldo de carteira - Renda Fixa;R$ 2,04;R$ 11.883,79;R$ 11.883,79
5;09:08:13;;;;
6;23/02/2024;;;;
7;;Rendimento de saldo de carteira - Renda Fixa;R$ 2,03;R$ 11.881,75;R$ 11.881,75
8;09:41:50;;;;
9;22/02/2024;;;;
10;;Rendimento de saldo de carteira - Renda Fixa;R$ 2,03;R$ 11.879,72;R$ 11.879,72
11;10:00:51;;;;
12;21/02/2024;;;;
13;;Pix Enviado;- R$ 174,50;R$ 11.877,69;R$ 11.877,69
14;13:52:10;;;;
15;21/02/2024;;;;
16;;Pix Enviado;- R$ 1.318,81;-;-
17;13:38:17;;;;
18;21/02/2024;;;;
19;;Rendimento de saldo de carteira - Renda Fixa;R$ 2,53;-;-
20;09:51:44;;;;
21;20/02/2024;;;;
22;;Pix Enviado;- R$ 352,02;R$ 13.368,47;R$ 13.368,47
23;20:30:35;;;;
0;20/02/2024;;;;
1;;Rendimento de saldo de carteira - Renda Fixa;R$ 2,65;-;-
2;11:09:40;;;;
3;19/02/2024;;;;
4;;Pix Enviado;- R$ 200,00;R$ 13.717,84;R$ 13.717,84
5;15:40:55;;;;
6;19/02/2024;;;;
7;;Rendimento de saldo de carteira - Renda Fixa;R$ 2,70;-;-
8;09:24:48;;;;
9;16/02/2024;;;;
10;;Rendimento de saldo de carteira - Renda Fixa;R$ 2,71;R$ 13.915,14;R$ 13.915,14
11;10:26:10;;;;
12;15/02/2024;;;;
13;;Rendimento de saldo de carteira - Renda Fixa;R$ 2,70;R$ 13.912,43;R$ 13.912,43
14;20:00:34;;;;
15;14/02/2024;;;;
16;;Rendimento de saldo de carteira - Renda Fixa;R$ 5,75;R$ 13.909,73;R$ 13.909,73
17;09:38:52;;;;
18;10/02/2024;;;;
19;;Pix Enviado;- R$ 9.000,00;R$ 13.903,98;R$ 13.903,98
20;09:15:32;;;;
21;10/02/2024;;;;
22;;Pix Enviado;- R$ 100,00;-;-
23;00:25:11;;;;
0;09/02/2024;;;;
1;;Pix Enviado;- R$ 61,26;R$ 23.003,98;R$ 23.003,98
2;19:12:57;;;;
3;09/02/2024;;;;
4;;Rendimento de saldo de carteira - Renda Fixa;R$ 5,76;-;-
5;11:19:08;;;;
6;08/02/2024;;;;
7;;Pix Enviado;- R$ 15,99;R$ 23.059,48;R$ 23.059,48
8;22:04:36;;;;
9;08/02/2024;;;;
10;;Pix Enviado;- R$ 64,80;-;-
11;21:22:57;;;;
12;08/02/2024;;;;
13;;Pix Enviado;- R$ 120,00;-;-
14;17:26:11;;;;
15;08/02/2024;;;;
16;;Rendimento de saldo de carteira - Renda Fixa;R$ 5,89;-;-
17;16:34:15;;;;
18;08/02/2024;;;;
19;;Pix Enviado;- R$ 200,00;-;-
20;15:12:41;;;;
21;07/02/2024;;;;
22;;Rendimento de saldo de carteira - Renda Fixa;R$ 5,88;R$ 23.454,38;R$ 23.454,38
23;10:16:44;;;;
0;06/02/2024;;;;
1;;Rendimento de saldo de carteira - Renda Fixa;R$ 5,91;R$ 23.448,50;R$ 23.448,50
2;11:50:55;;;;
3;05/02/2024;;;;
4;;Rendimento de saldo de carteira - Renda Fixa;R$ 5,87;R$ 23.442,59;R$ 23.442,59
5;09:09:10;;;;
6;04/02/2024;;;;
7;;Pix Enviado;- R$ 10,00;R$ 23.436,72;R$ 23.436,72
8;13:21:25;;;;
9;04/02/2024;;;;
10;;Pix Enviado;- R$ 10,00;-;-
11;13:06:47;;;;
12;02/02/2024;;;;
13;;Rendimento de saldo de carteira - Renda Fixa;R$ 5,89;R$ 23.456,72;R$ 23.456,72
14;09:57:37;;;;
15;01/02/2024;;;;
16;;Rendimento de saldo de carteira - Renda Fixa;R$ 6,13;R$ 23.450,83;R$ 23.450,83
17;10:01:48;;;;
